Accession	Protein names	Gene names
O88942	"Nuclear factor of activated T-cells, cytoplasmic 1"	Nfatc1
O88942-2	"Isoform Beta of Nuclear factor of activated T-cells, cytoplasmic 1"	Nfatc1
O88942-3	"Isoform Alpha' of Nuclear factor of activated T-cells, cytoplasmic 1"	Nfatc1
O88947	Coagulation factor X	F10
O88951	Protein lin-7 homolog B	Lin7b
O88952	Protein lin-7 homolog C	Lin7c
O88958	Glucosamine-6-phosphate isomerase 1	Gnpda1
O88962	7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase	Cyp8b1
O88967	ATP-dependent zinc metalloprotease YME1L1	Yme1l1
O88968	Transcobalamin-2	Tcn2
O88974	Histone-lysine N-methyltransferase SETDB1	Setdb1
O88974-2	Isoform 2 of Histone-lysine N-methyltransferase SETDB1	Setdb1
O88974-3	Isoform 3 of Histone-lysine N-methyltransferase SETDB1	Setdb1
O88974-4	Isoform 4 of Histone-lysine N-methyltransferase SETDB1	Setdb1
O88974-5	Isoform 5 of Histone-lysine N-methyltransferase SETDB1	Setdb1
O88974-6	Isoform 6 of Histone-lysine N-methyltransferase SETDB1	Setdb1
O88974-7	Isoform 7 of Histone-lysine N-methyltransferase SETDB1	Setdb1
O88978	Dynein axonemal assembly factor 11	Dnaaf11
O88983	Syntaxin-8	Stx8
O88986	"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial"	Gcat
O88987	A-kinase anchor protein 3	Akap3
O88990	Alpha-actinin-3	Actn3
O88992	C1q-related factor	C1ql1
O88995	NF-kappa-B inhibitor-like protein 1	Nfkbil1
O88998	Noelin	Olfm1
O88998-2	Isoform 2 of Noelin	Olfm1
O88998-3	Isoform 3 of Noelin	Olfm1
O88998-4	Isoform 4 of Noelin	Olfm1
O89001	Carboxypeptidase D	Cpd
O89013	Leptin receptor gene-related protein	Leprot
O89013-2	Isoform 2 of Leptin receptor gene-related protein	Leprot
O89016	Lysosomal cobalamin transporter ABCD4	Abcd4
O89017	Legumain	Lgmn
O89019	Inversin	Invs
O89019-2	Isoform 2 of Inversin	Invs
O89019-3	Isoform 3 of Inversin	Invs
O89019-4	Isoform 4 of Inversin	Invs
O89019-5	Isoform 5 of Inversin	Invs
O89019-6	Isoform 6 of Inversin	Invs
O89019-7	Isoform 7 of Inversin	Invs
O89020	Afamin	Afm
O89020-2	Isoform 2 of Afamin	Afm
O89020-3	Isoform 3 of Afamin	Afm
O89023	Tripeptidyl-peptidase 1	Tpp1
O89026	Roundabout homolog 1	Robo1
O89029	Matrilin-4	Matn4
O89029-2	Isoform Short of Matrilin-4	Matn4
O89032	SH3 and PX domain-containing protein 2A	Sh3pxd2a
O89032-2	Isoform 2 of SH3 and PX domain-containing protein 2A	Sh3pxd2a
O89032-3	Isoform 3 of SH3 and PX domain-containing protein 2A	Sh3pxd2a
O89033	Cell division control protein 6 homolog	Cdc6
O89050	Muskelin	Mkln1
O89051	Integral membrane protein 2B	Itm2b
O89053	Coronin-1A	Coro1a
O89079	Coatomer subunit epsilon	Cope
O89084	"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"	Pde4a
O89084-2	"Isoform 2 of cAMP-specific 3',5'-cyclic phosphodiesterase 4A"	Pde4a
O89084-3	"Isoform 3 of cAMP-specific 3',5'-cyclic phosphodiesterase 4A"	Pde4a
O89086	RNA-binding protein 3	Rbm3
O89090	Transcription factor Sp1	Sp1
O89090-2	Isoform 2 of Transcription factor Sp1	Sp1
O89091	Krueppel-like factor 10	Klf10
O89093	C-C motif chemokine 20	Ccl20
O89093-2	Isoform Short of C-C motif chemokine 20	Ccl20
O89094	Caspase-14	Casp14
O89094-2	Isoform 2 of Caspase-14	Casp14
O89098	Cystatin-F	Cst7
O89100	GRB2-related adaptor protein 2	Grap2
O89101	Fibroblast growth factor 18	Fgf18
O89103	Complement component C1q receptor	Cd93
O89104	Synaptophysin-like protein 2	Sypl2
O89106	Bis(5'-adenosyl)-triphosphatase	Fhit
O89109	Intermediate conductance calcium-activated potassium channel protein 4	Kcnn4
O89110	Caspase-8	Casp8
O89112	Glutathione S-transferase LANCL1	Lancl1
O89113	Immediate early response gene 5 protein	Ier5
O89114	DnaJ homolog subfamily B member 5	Dnajb5
O89116	Vesicle transport through interaction with t-SNAREs homolog 1A	Vti1a
P00015	"Cytochrome c, testis-specific"	Cyct
P00158	Cytochrome b	Mt-Cyb
P00184	Cytochrome P450 1A1	Cyp1a1
P00186	Cytochrome P450 1A2	Cyp1a2
P00329	Alcohol dehydrogenase 1	Adh1
P00342	L-lactate dehydrogenase C chain	Ldhc
P00375	Dihydrofolate reductase	Dhfr
P00397	Cytochrome c oxidase subunit 1	Mtco1
P00405	Cytochrome c oxidase subunit 2	Mtco2
P00416	Cytochrome c oxidase subunit 3	mt-Co3
P00493	Hypoxanthine-guanine phosphoribosyltransferase	Hprt1
P00520	Tyrosine-protein kinase ABL1	Abl1
P00520-2	Isoform II of Tyrosine-protein kinase ABL1	Abl1
P00520-3	Isoform III of Tyrosine-protein kinase ABL1	Abl1
P00520-4	Isoform IV of Tyrosine-protein kinase ABL1	Abl1
P00536	Proto-oncogene serine/threonine-protein kinase mos	Mos
P00683	Ribonuclease pancreatic	Rnase1
P00687	Alpha-amylase 1	Amy1
P00688	Pancreatic alpha-amylase	Amy2
P00755	Kallikrein 1-related peptidase b1	Klk1b1
P00756	Kallikrein 1-related peptidase b3	Klk1b3
P00757	Kallikrein 1-related peptidase-like b4	Klk1b4
P00796	Renin-2	Ren2
P00848	ATP synthase subunit a	Mtatp6
P00860	Ornithine decarboxylase	Odc1
P00920	Carbonic anhydrase 2	Ca2
P01027	Complement C3	C3
P01027-2	Isoform Short of Complement C3	C3
P01029	Complement C4-B	C4b
P01101	Protein c-Fos	Fos
P01108	Myc proto-oncogene protein	Myc
P01132	Pro-epidermal growth factor	Egf
P01139	Beta-nerve growth factor	Ngf
P01173	Whey acidic protein	Wap
P01193	Pro-opiomelanocortin	Pomc
P01216	Glycoprotein hormones alpha chain	Cga
P01325	Insulin-1	Ins1
P01326	Insulin-2	Ins2
P01572	Interferon alpha-1	Ifna1
P01573	Interferon alpha-2	Ifna2
P01575	Interferon beta	Ifnb1
P01580	Interferon gamma	Ifng
P01582	Interleukin-1 alpha	Il1a
P01586	Interleukin-3	Il3
P01587	Granulocyte-macrophage colony-stimulating factor	Csf2
P01590	Interleukin-2 receptor subunit alpha	Il2ra
P01592	Immunoglobulin J chain	Jchain
P01626	Ig kappa chain V-II region MOPC 167	KV2A1_MOUSE
P01627	Immunoglobulin kappa variable 2-112	Igkv2-112
P01628	Ig kappa chain V-II region MOPC 511	KV2A3_MOUSE
P01629	Ig kappa chain V-II region 2S1.3	KV2A4_MOUSE
P01630	Ig kappa chain V-II region 7S34.1	KV2A6_MOUSE
P01631	Ig kappa chain V-II region 26-10	KV2A7_MOUSE
P01632	Ig kappa chain V-I region S107A	Igkv7-33
P01633	Immunoglobulin kappa chain variable 6-17	Igkv6-17
P01634	Ig kappa chain V-V region MOPC 21	KV5A2_MOUSE
P01635	Immunoglobulin kappa chain variable 12-41 (Fragment)	Igkv12-41
P01636	Ig kappa chain V-V region MOPC 149	KV5A4_MOUSE
P01637	Ig kappa chain V-V region T1	KV5A5_MOUSE
P01638	Ig kappa chain V-V region L6 (Fragment)	KV5A6_MOUSE
P01639	Immunoglobulin kappa chain variable 9-120	Igkv9-120
P01641	Ig kappa chain V-V region MOPC 173B	KV5A8_MOUSE
P01642	Ig kappa chain V-V region L7 (Fragment)	Gm10881
P01643	Ig kappa chain V-V region MOPC 173	KV5AA_MOUSE
P01644	Ig kappa chain V-V region HP R16.7	KV5AB_MOUSE
P01645	Ig kappa chain V-V region HP 93G7	KV5AC_MOUSE
P01646	Ig kappa chain V-V region HP 123E6	KV5AD_MOUSE
P01647	Ig kappa chain V-V region HP 124E1	KV5AE_MOUSE
P01648	Ig kappa chain V-V region HP 91A3	KV5AF_MOUSE
P01649	Ig kappa chain V-V regions	KV5AG_MOUSE
P01650	Immunoglobulin kappa variable 11-125	Igkv11-125
P01651	Ig kappa chain V-V region EPC 109	KV5AI_MOUSE
P01652	Ig kappa chain V-V region J606	KV5AK_MOUSE
P01653	Ig kappa chain V-V region W3082	KV5AL_MOUSE
P01654	Ig kappa chain V-III region PC 2880/PC 1229	KV3A1_MOUSE
P01655	Ig kappa chain V-III region PC 7132	KV3A2_MOUSE
P01656	Ig kappa chain V-III region MOPC 70	KV3A3_MOUSE
P01657	Ig kappa chain V-III region PC 2413	KV3A5_MOUSE
P01658	Ig kappa chain V-III region MOPC 321	KV3A6_MOUSE
P01659	Ig kappa chain V-III region TEPC 124	KV3A7_MOUSE
P01660	Ig kappa chain V-III region PC 3741/TEPC 111	KV3A8_MOUSE
P01661	Ig kappa chain V-III region MOPC 63	KV3A9_MOUSE
P01662	Ig kappa chain V-III region ABPC 22/PC 9245	KV3AA_MOUSE
P01663	Ig kappa chain V-III region PC 4050	KV3AB_MOUSE
P01664	Ig kappa chain V-III region CBPC 101	KV3AC_MOUSE
P01665	Ig kappa chain V-III region PC 7043	KV3AD_MOUSE
P01666	Ig kappa chain V-III region PC 7183	KV3AE_MOUSE
P01667	Ig kappa chain V-III region PC 6308	KV3AF_MOUSE
P01668	Ig kappa chain V-III region PC 7210	KV3AG_MOUSE
P01669	Ig kappa chain V-III region PC 7769	KV3AH_MOUSE
P01670	Ig kappa chain V-III region PC 6684	KV3AI_MOUSE
P01671	Ig kappa chain V-III region PC 7175	KV3AJ_MOUSE
P01672	Ig kappa chain V-III region PC 7940	KV3AK_MOUSE
P01673	Ig kappa chain V-III region PC 2485/PC 4039	KV3AL_MOUSE
P01674	Ig kappa chain V-III region PC 2154	KV3AM_MOUSE
P01675	Ig kappa chain V-VI region XRPC 44	KV6A1_MOUSE
P01676	Ig kappa chain V-VI region XRPC 24	KV6A2_MOUSE
P01677	Ig kappa chain V-VI region TEPC 601/TEPC 191	KV6A3_MOUSE
P01678	Ig kappa chain V-VI region SAPC 10	KV6A4_MOUSE
P01679	Ig kappa chain V-VI region J539	KV6A5_MOUSE
P01680	Ig kappa chain V-IV region S107B	KV4A1_MOUSE
P01723	Ig lambda-1 chain V region	LV1A_MOUSE
P01724	Ig lambda-1 chain V regions MOPC 104E/RPC20/J558/S104	LV1B_MOUSE
P01725	Ig lambda-1 chain V region S178	LV1C_MOUSE
P01726	Ig lambda-1 chain V region H2020	LV1D_MOUSE
P01727	Ig lambda-1 chain V region S43	LV1E_MOUSE
P01728	Ig lambda-2 chain V region	LV2A_MOUSE
P01729	Ig lambda-2 chain V region MOPC 315	LV2B_MOUSE
P01731	T-cell surface glycoprotein CD8 alpha chain	Cd8a
P01734	T-cell receptor beta chain V region 3H.25	TVB1_MOUSE
P01735	T-cell receptor beta chain V region 86T1	TVB86_MOUSE
P01736	T-cell receptor beta chain V region PHDS203 (Fragment)	TVB3_MOUSE
P01738	T-cell receptor alpha chain V region PHDS58	TVA1_MOUSE
P01739	T-cell receptor alpha chain V region 2B4	TVA2_MOUSE
P01740	T-cell receptor gamma chain V region V108A	TVC1_MOUSE
P01741	Ig heavy chain V region	HVM00_MOUSE
P01745	Ig heavy chain V region MPC 11	HVM01_MOUSE
P01746	Ig heavy chain V region 93G7	HVM02_MOUSE
P01747	Ig heavy chain V region 36-65	HVM03_MOUSE
P01748	Ig heavy chain V region 23	HVM04_MOUSE
P01749	Ig heavy chain V region 3	Ighv1-61
P01750	Ig heavy chain V region 102	HVM06_MOUSE
P01753	Ig heavy chain V region 186-1	HVM09_MOUSE
P01754	Ig heavy chain V region 1-62-3	Ighv1-62-3
P01756	Ig heavy chain V region MOPC 104E	HVM12_MOUSE
P01757	Ig heavy chain V region J558	HVM13_MOUSE
P01758	Ig heavy chain V region 108A	Igh-VJ558
P01759	Ig heavy chain V region BCL1	HVM15_MOUSE
P01786	Ig heavy chain V region MOPC 47A	HVM17_MOUSE
P01787	Ig heavy chain V regions TEPC 15/S107/HPCM1/HPCM2/HPCM3	HVM18_MOUSE
P01788	Ig heavy chain V region H8	HVM19_MOUSE
P01789	Ig heavy chain V region M603	HVM20_MOUSE
P01790	Ig heavy chain V region M511	HVM21_MOUSE
P01791	Ig heavy chain V region HPCM6	HVM22_MOUSE
P01792	Ig heavy chain V region HPCG8	HVM23_MOUSE
P01793	Ig heavy chain V region HPCG13	HVM24_MOUSE
P01794	Ig heavy chain V region HPCG14	HVM25_MOUSE
P01795	Ig heavy chain V region M167	HVM26_MOUSE
P01796	Ig heavy chain V-III region A4	HVM27_MOUSE
P01797	Ig heavy chain V-III region U61	HVM28_MOUSE
P01798	Ig heavy chain V-III region E109	HVM29_MOUSE
P01799	Ig heavy chain V-III region ABE-47N	HVM30_MOUSE
P01800	Ig heavy chain V-III region T957	HVM31_MOUSE
P01801	Ig heavy chain V-III region J606	HVM32_MOUSE
P01802	Ig heavy chain V-III region W3082	HVM33_MOUSE
P01803	Ig heavy chain V region AMPC1	HVM34_MOUSE
P01804	Ig heavy chain V-III region HPC76 (Fragment)	HVM35_MOUSE
P01806	Ig heavy chain V region 441	HVM36_MOUSE
P01807	Ig heavy chain V region X44	HVM37_MOUSE
P01808	Ig heavy chain V region T601	HVM38_MOUSE
P01809	Ig heavy chain V region X24	HVM39_MOUSE
P01810	Ig heavy chain V region J539	HVM40_MOUSE
P01811	Ig heavy chain V region UPC10	HVM41_MOUSE
P01812	Ig heavy chain V region MOPC 173	HVM42_MOUSE
P01819	Ig heavy chain V region MOPC 141	HVM43_MOUSE
P01820	Ig heavy chain V region PJ14	HVM44_MOUSE
P01821	Ig heavy chain V region MC101	HVM45_MOUSE
P01822	Ig heavy chain V region MOPC 315	HVM46_MOUSE
P01823	Ig heavy chain V region 36-60	HVM47_MOUSE
P01831	Thy-1 membrane glycoprotein	Thy1
P01837	Immunoglobulin kappa constant	Igkc
P01843	Ig lambda-1 chain C region	LAC1_MOUSE
P01844	Ig lambda-2 chain C region	Iglc2
P01845	Ig lambda-3 chain C region	Iglc3
P01849	T-cell receptor alpha chain C region	Tcra
P01851	T-cell receptor beta-2 chain C region	TCB2_MOUSE
P01852	T-cell receptor beta-1 chain C region	TCB1_MOUSE
P01853	T-cell receptor gamma chain C region C10.5	TCC1_MOUSE
P01863	"Ig gamma-2A chain C region, A allele"	Ighg
P01864	Ig gamma-2A chain C region secreted form	GCAB_MOUSE
P01865	"Ig gamma-2A chain C region, membrane-bound form"	Igh-1a
P01867	Immunoglobulin heavy constant gamma 2B	Ighg2b
P01867-2	Isoform 2 of Immunoglobulin heavy constant gamma 2B	Ighg2b
P01868	Ig gamma-1 chain C region secreted form	Ighg1
P01869	"Ig gamma-1 chain C region, membrane-bound form"	Ighg1
P01872	Immunoglobulin heavy constant mu	Ighm
P01872-2	Isoform 2 of Immunoglobulin heavy constant mu	Ighm
P01878	Ig alpha chain C region	IGHA_MOUSE
P01881	Ig delta chain C region secreted form	IGHD_MOUSE
P01882	Ig delta chain C region membrane-bound form	IGHDM_MOUSE
P01887	Beta-2-microglobulin	B2m
P01895	"H-2 class I histocompatibility antigen, alpha chain (Fragment)"	H2-D1
P01895-2	"Isoform 2 of H-2 class I histocompatibility antigen, alpha chain"	H2-D1
P01896	"H-2 class I histocompatibility antigen, alpha chain (Fragment)"	HA1Z_MOUSE
P01897	"H-2 class I histocompatibility antigen, L-D alpha chain"	H2-L
P01898	"H-2 class I histocompatibility antigen, Q10 alpha chain"	H2-Q10
P01899	"H-2 class I histocompatibility antigen, D-B alpha chain"	H2-D1
P01900	"H-2 class I histocompatibility antigen, D-D alpha chain"	H2-D1
P01901	"H-2 class I histocompatibility antigen, K-B alpha chain"	H2-K1
P01902	"H-2 class I histocompatibility antigen, K-D alpha chain"	H2-K1
P01904	"H-2 class II histocompatibility antigen, E-D alpha chain"	H2-Ea
P01910	"H-2 class II histocompatibility antigen, A-K alpha chain"	H2-Aa
P01915	"H-2 class II histocompatibility antigen, E-D beta chain"	HB22_MOUSE
P01921	"H-2 class II histocompatibility antigen, A-D beta chain"	H2-Ab1
P01942	Hemoglobin subunit alpha	Hba
P02088	Hemoglobin subunit beta-1	Hbb-b1
P02089	Hemoglobin subunit beta-2	Hbb-b2
P02104	Hemoglobin subunit epsilon-Y2	Hbb-y
P02301	Histone H3.3C	H3-5
P02319	Sperm protamine P1	Prm1
P02340	Cellular tumor antigen p53	Tp53
P02463	Collagen alpha-1(IV) chain	Col4a1
P02468	Laminin subunit gamma-1	Lamc1
P02469	Laminin subunit beta-1	Lamb1
P02525	Beta-crystallin A1	Cryba1
P02535	"Keratin, type I cytoskeletal 10"	Krt10
P02535-2	"Isoform 2 of Keratin, type I cytoskeletal 10"	Krt10
P02535-3	"Isoform 3 of Keratin, type I cytoskeletal 10"	Krt10
P02664	Alpha-S2-casein-like B	Csn1s2b
P02716	Acetylcholine receptor subunit delta	Chrnd
P02762	Major urinary protein 6	Mup6
P02772	Alpha-fetoprotein	Afp
P02798	Metallothionein-2	Mt2
P02802	Metallothionein-1	Mt1
P02815	Mucin-like protein 2	Mucl2
P02816	Prolactin-inducible protein homolog	Pip
P02830	Homeobox protein Hox-A7	Hoxa7
P02831	Homeobox protein Hox-A3	Hoxa3
P03888	NADH-ubiquinone oxidoreductase chain 1	Mtnd1
P03893	NADH-ubiquinone oxidoreductase chain 2	mt-Nd2
P03899	NADH-ubiquinone oxidoreductase chain 3	mt-Nd3
P03903	NADH-ubiquinone oxidoreductase chain 4L	Mtnd4l
P03911	NADH-ubiquinone oxidoreductase chain 4	Mtnd4
P03921	NADH-ubiquinone oxidoreductase chain 5	Mtnd5
P03925	NADH-ubiquinone oxidoreductase chain 6	Mtnd6
P03930	ATP synthase protein 8	Mtatp8
P03940	Steroid 21-hydroxylase	Cyp21
P03953	Complement factor D	Cfd
P03953-2	Isoform 2 of Complement factor D	Cfd
P03958	Adenosine deaminase	Ada
P03966	N-myc proto-oncogene protein	Mycn
P03975	IgE-binding protein	Iap
P03976	Ig kappa chain V-II region 17S29.1	KV2A5_MOUSE
P03977	Ig kappa chain V-III region 50S10.1	KV3A4_MOUSE
P03978	T-cell receptor gamma chain V region V108B (Fragment)	Tcrg-V1
P03980	Ig heavy chain V region TEPC 1017	HVM48_MOUSE
P03985	T-cell receptor gamma chain C region C7.5	TCC2_MOUSE
P03987	Ig gamma-3 chain C region	IGHG3_MOUSE
P03987-2	Isoform 2 of Ig gamma-3 chain C region	IGHG3_MOUSE
P03991	"H-2 class I histocompatibility antigen, K-W28 alpha chain"	H2-K1
P03995	Glial fibrillary acidic protein	Gfap
P03995-2	Isoform 2 of Glial fibrillary acidic protein	Gfap
P04071	Kallikrein 1-related peptidase b16	Klk1b16
P04095	Prolactin-2C2	Prl2c2
P04095-2	Isoform 2 of Prolactin-2C2	Prl2c2
P04104	"Keratin, type II cytoskeletal 1"	Krt1
P04117	"Fatty acid-binding protein, adipocyte"	Fabp4
P04184	"Thymidine kinase, cytosolic"	Tk1
P04184-2	"Isoform 2 of Thymidine kinase, cytosolic"	Tk1
P04186	Complement factor B	Cfb
P04187	"Granzyme B(G,H)"	Gzmb
P04202	Transforming growth factor beta-1 proprotein	Tgfb1
P04212	T-cell receptor beta chain V region LB2	TVB4_MOUSE
P04213	T-cell receptor beta chain V region C5 (Fragment)	TVB5_MOUSE
P04214	T-cell receptor beta chain V region E1	TVB6_MOUSE
P04219	Putative uncharacterized Ig-region protein	HYIG_MOUSE
P04223	"H-2 class I histocompatibility antigen, K-K alpha chain"	H2-K1
P04223-2	"Isoform 2 of H-2 class I histocompatibility antigen, K-K alpha chain"	H2-K1
P04224	"H-2 class II histocompatibility antigen, E-K alpha chain"	HA22_MOUSE
P04227	"H-2 class II histocompatibility antigen, A-Q alpha chain (Fragment)"	H2-Aa
P04228	"H-2 class II histocompatibility antigen, A-D alpha chain"	H2-Aa
P04230	"H-2 class II histocompatibility antigen, E-B beta chain"	H2-Eb1
P04231	"H-2 class II histocompatibility antigen, E-S beta chain (Fragment)"	H2-Eb1
P04235	T-cell surface glycoprotein CD3 delta chain	Cd3d
P04247	Myoglobin	Mb
P04342	Gamma-crystallin D	Crygd
P04344	Gamma-crystallin B	Crygb
P04345	Gamma-crystallin A	Cryga
P04351	Interleukin-2	Il2
P04370	Myelin basic protein	Mbp
P04370-10	Isoform 10 of Myelin basic protein	Mbp
P04370-11	Isoform 11 of Myelin basic protein	Mbp
P04370-13	Isoform 12 of Myelin basic protein	Mbp
P04370-14	Isoform 13 of Myelin basic protein	Mbp
P04370-2	Isoform 2 of Myelin basic protein	Mbp
P04370-3	Isoform 3 of Myelin basic protein	Mbp
P04370-4	Isoform 4 of Myelin basic protein	Mbp
P04370-5	Isoform 5 of Myelin basic protein	Mbp
P04370-6	Isoform 6 of Myelin basic protein	Mbp
P04370-7	Isoform 7 of Myelin basic protein	Mbp
P04370-8	Isoform 8 of Myelin basic protein	Mbp
P04370-9	Isoform 9 of Myelin basic protein	Mbp
P04401	Interleukin-5	Il5
P04426	Proto-oncogene Wnt-1	Wnt1
P04441	H-2 class II histocompatibility antigen gamma chain	Cd74
P04441-2	Isoform Short of H-2 class II histocompatibility antigen gamma chain	Cd74
P04443	Hemoglobin subunit beta-H0	Hbb-bh0
P04444	Hemoglobin subunit beta-H1	Hbb-bh1
P04627	Serine/threonine-protein kinase A-Raf	Araf
P04756	Acetylcholine receptor subunit alpha	Chrna1
P04760	Acetylcholine receptor subunit gamma	Chrng
P04760-2	Isoform Short of Acetylcholine receptor subunit gamma	Chrng
P04768	Prolactin-2C3	Prl2c3
P04769	Prolactin-7D1	Prl7d1
P04918	Serum amyloid A-3 protein	Saa3
P04919	Band 3 anion transport protein	Slc4a1
P04919-2	Isoform 2 of Band 3 anion transport protein	Slc4a1
P04925	Major prion protein	Prnp
P04938	Major urinary protein 11	Mup11
P04939	Major urinary protein 3	Mup3
P04940	Ig kappa chain V-VI region NQ2-17.4.1	KV6A6_MOUSE
P04941	Ig kappa chain V-VI region NQ2-48.2.2	KV6A7_MOUSE
P04943	Ig kappa chain V-VI region NQ6-8.3.1	KV6A9_MOUSE
P04944	Ig kappa chain V-VI region NQ5-78.2.6	KV6AA_MOUSE
P04945	Ig kappa chain V-VI region NQ2-6.1	KV6AB_MOUSE
P04946	Ig kappa chain V-V region NQ5-89.4	KV5AM_MOUSE
P05017	Insulin-like growth factor I	Igf1
P05017-2	Isoform IGF-IB of Insulin-like growth factor I	Igf1
P05063	Fructose-bisphosphate aldolase C	Aldoc
P05064	Fructose-bisphosphate aldolase A	Aldoa
P05125	Natriuretic peptides A	Nppa
P05132	cAMP-dependent protein kinase catalytic subunit alpha	Prkaca
P05132-2	Isoform 2 of cAMP-dependent protein kinase catalytic subunit alpha	Prkaca
P05142	Proline-rich protein HaeIII subfamily 1	Prh1
P05143	Proline-rich protein 2	Prp2
P05143-2	Isoform 2 of Proline-rich protein 2	Prp2
P05201	"Aspartate aminotransferase, cytoplasmic"	Got1
P05202	"Aspartate aminotransferase, mitochondrial"	Got2
P05208	Chymotrypsin-like elastase family member 2A	Cela2a
P05213	Tubulin alpha-1B chain	Tuba1b
P05214	Tubulin alpha-3 chain	Tuba3a
P05366	Serum amyloid A-1 protein	Saa1
P05367	Serum amyloid A-2 protein	Saa2
P05480	Proto-oncogene tyrosine-protein kinase Src	Src
P05480-1	Isoform 2 of Proto-oncogene tyrosine-protein kinase Src	Src
P05524	Fibroblast growth factor 3	Fgf3
P05524-2	Isoform 1 of Fibroblast growth factor 3	Fgf3
P05531	X-linked lymphocyte-regulated protein PM1	Xlr
P05532	Mast/stem cell growth factor receptor Kit	Kit
P05532-2	Isoform 2 of Mast/stem cell growth factor receptor Kit	Kit
P05532-3	Isoform 3 of Mast/stem cell growth factor receptor Kit	Kit
P05533	Lymphocyte antigen 6A-2/6E-1	Ly6a
P05555	Integrin alpha-M	Itgam
P05555-2	Isoform 2 of Integrin alpha-M	Itgam
P05622	Platelet-derived growth factor receptor beta	Pdgfrb
P05622-2	Isoform 2 of Platelet-derived growth factor receptor beta	Pdgfrb
P05627	Transcription factor Jun	Jun
P05784	"Keratin, type I cytoskeletal 18"	Krt18
P05977	"Myosin light chain 1/3, skeletal muscle isoform"	Myl1
P05977-2	"Isoform MLC3 of Myosin light chain 1/3, skeletal muscle isoform"	Myl1
P06151	L-lactate dehydrogenase A chain	Ldha
P06240	Proto-oncogene tyrosine-protein kinase LCK	Lck
P06281	Renin-1	Ren1
P06320	T-cell receptor beta chain V region CTL-F3	TVB7_MOUSE
P06321	T-cell receptor beta chain V region A20.2.25	TVB8_MOUSE
P06323	T-cell receptor alpha chain V region CTL-F3	TVA3_MOUSE
