Accession	Protein names	Gene names
A2AQ25-5	Isoform 5 of Sickle tail protein	Skt
A2AQ25-6	Isoform 6 of Sickle tail protein	Skt
A2AQ25-7	Isoform 7 of Sickle tail protein	Skt
A2AQ25-8	Isoform 8 of Sickle tail protein	Skt
A2AQ25-9	Isoform 9 of Sickle tail protein	Skt
A2AQH4	BCL-6 corepressor-like protein 1	Bcorl1
A2AQP0	Myosin-7B	Myh7b
A2AQW0	Mitogen-activated protein kinase kinase kinase 15	Map3k15
A2AR02	Peptidyl-prolyl cis-trans isomerase G	Ppig
A2AR50	Ras-specific guanine nucleotide-releasing factor RalGPS1	Ralgps1
A2AR50-2	Isoform 2 of Ras-specific guanine nucleotide-releasing factor RalGPS1	Ralgps1
A2AR50-3	Isoform 3 of Ras-specific guanine nucleotide-releasing factor RalGPS1	Ralgps1
A2AR50-4	Isoform 4 of Ras-specific guanine nucleotide-releasing factor RalGPS1	Ralgps1
A2AR95	Low-density lipoprotein receptor class A domain-containing protein 3	Ldlrad3
A2AR95-2	Isoform 2 of Low-density lipoprotein receptor class A domain-containing protein 3	Ldlrad3
A2AR95-3	Isoform 3 of Low-density lipoprotein receptor class A domain-containing protein 3	Ldlrad3
A2ARA8	Integrin alpha-8	Itga8
A2ARA8-2	Isoform 2 of Integrin alpha-8	Itga8
A2ARI4	Leucine-rich repeat-containing G-protein coupled receptor 4	Lgr4
A2ARI4-2	Isoform 2 of Leucine-rich repeat-containing G-protein coupled receptor 4	Lgr4
A2ARJ3	Transmembrane protein 236	Tmem236
A2ARK0	Protein FAM83C	Fam83c
A2ARM1	Protein PAT1 homolog 2	Patl2
